"externalId","name","email","phone","city","signupDate","categoryAffinity","aovTier"
"cust_0001","Ishaan Kapoor","ishaan.kapoor.1@gmail.com","+918759740901","Jaipur","2025-03-06","Athleisure","high"
"cust_0002","Meera Saxena","meera.saxena.2@gmail.com","+918045653107","Ahmedabad","2025-09-20","Accessories","value"
"cust_0003","Dev Rao","dev.rao.3@gmail.com","+918297795012","Delhi","2026-04-01","Athleisure","value"
"cust_0004","Aarav Nair","aarav.nair.4@gmail.com","+917423217094","Bengaluru","2025-12-14","Athleisure","mid"
"cust_0005","Diya Kapoor","diya.kapoor.5@gmail.com","+917101831925","Mumbai","2025-03-02","Accessories","value"
"cust_0006","Tara Nair","tara.nair.6@gmail.com","+918901596590","Ahmedabad","2025-11-20","Festive Wear","value"
"cust_0007","Aarav Saxena","aarav.saxena.7@gmail.com","+918809065330","Ahmedabad","2025-12-06","Denim","mid"
"cust_0008","Aarav Saxena","aarav.saxena.8@gmail.com","+917374546355","Jaipur","2025-11-03","Summer Dresses","high"
"cust_0009","Kabir Menon","kabir.menon.9@gmail.com","+918710674737","Pune","2025-09-12","Denim","value"
"cust_0010","Vivaan Khanna","vivaan.khanna.10@gmail.com","+917986793919","Mumbai","2025-10-16","Footwear","mid"
"cust_0011","Arjun Sharma","arjun.sharma.11@gmail.com","+918647999803","Ahmedabad","2025-12-14","Accessories","value"
"cust_0012","Nisha Mehta","nisha.mehta.12@gmail.com","+918813812532","Chennai","2025-07-08","Athleisure","value"
"cust_0013","Anaya Menon","anaya.menon.13@gmail.com","+918395255363","Jaipur","2026-04-07","Festive Wear","mid"
"cust_0014","Diya Iyer","diya.iyer.14@gmail.com","+918443428231","Bengaluru","2025-11-23","Denim","value"
"cust_0015","Diya Kapoor","diya.kapoor.15@gmail.com","+917979939800","Pune","2025-04-10","Accessories","high"
"cust_0016","Nisha Menon","nisha.menon.16@gmail.com","+918629459215","Hyderabad","2025-09-27","Accessories","mid"
"cust_0017","Tara Menon","tara.menon.17@gmail.com","+917285476964","Jaipur","2025-05-31","Footwear","value"
"cust_0018","Dev Sharma","dev.sharma.18@gmail.com","+918367556409","Ahmedabad","2025-02-14","Summer Dresses","value"
"cust_0019","Ishaan Rao","ishaan.rao.19@gmail.com","+918997239092","Bengaluru","2026-02-05","Summer Dresses","mid"
