"orderNumber","customerEmail","orderDate","amount","currency","category","productName","status"
"ORD-0001-1","ishaan.kapoor.1@gmail.com","2026-05-19","4191","INR","Athleisure","Performance Tee","completed"
"ORD-0001-2","ishaan.kapoor.1@gmail.com","2026-05-08","3939","INR","Athleisure","Performance Tee","completed"
"ORD-0001-3","ishaan.kapoor.1@gmail.com","2026-04-11","3291","INR","Athleisure","Performance Tee","completed"
"ORD-0001-4","ishaan.kapoor.1@gmail.com","2026-03-27","3031","INR","Athleisure","Performance Tee","completed"
"ORD-0001-5","ishaan.kapoor.1@gmail.com","2026-03-06","3751","INR","Athleisure","Ribbed Joggers","completed"
"ORD-0001-6","ishaan.kapoor.1@gmail.com","2026-02-03","3181","INR","Denim","High-Rise Jeans","returned"
"ORD-0001-7","ishaan.kapoor.1@gmail.com","2026-01-19","5909","INR","Athleisure","Oversized Hoodie","completed"
"ORD-0001-8","ishaan.kapoor.1@gmail.com","2025-12-24","5011","INR","Athleisure","Performance Tee","completed"
"ORD-0002-1","meera.saxena.2@gmail.com","2026-04-18","944","INR","Accessories","Gold Hoop Earrings","completed"
"ORD-0002-2","meera.saxena.2@gmail.com","2026-03-30","1552","INR","Accessories","Canvas Tote","completed"
"ORD-0002-3","meera.saxena.2@gmail.com","2026-03-12","1274","INR","Summer Dresses","Floral Wrap Dress","completed"
"ORD-0003-1","dev.rao.3@gmail.com","2026-03-08","1718","INR","Athleisure","Oversized Hoodie","completed"
"ORD-0003-2","dev.rao.3@gmail.com","2026-02-06","1167","INR","Athleisure","Performance Tee","completed"
"ORD-0003-3","dev.rao.3@gmail.com","2026-01-27","904","INR","Athleisure","Oversized Hoodie","completed"
"ORD-0003-4","dev.rao.3@gmail.com","2025-12-31","1007","INR","Athleisure","Performance Tee","completed"
"ORD-0004-1","aarav.nair.4@gmail.com","2025-11-27","2813","INR","Athleisure","Oversized Hoodie","completed"
"ORD-0004-2","aarav.nair.4@gmail.com","2025-11-11","2885","INR","Athleisure","Oversized Hoodie","completed"
"ORD-0004-3","aarav.nair.4@gmail.com","2025-10-24","2540","INR","Accessories","Minimal Belt","completed"
"ORD-0004-4","aarav.nair.4@gmail.com","2025-09-30","2538","INR","Athleisure","Oversized Hoodie","completed"
"ORD-0005-1","diya.kapoor.5@gmail.com","2026-05-21","1873","INR","Accessories","Canvas Tote","completed"
"ORD-0005-2","diya.kapoor.5@gmail.com","2026-05-07","1686","INR","Accessories","Gold Hoop Earrings","completed"
"ORD-0005-3","diya.kapoor.5@gmail.com","2026-04-14","1281","INR","Denim","High-Rise Jeans","completed"
"ORD-0006-1","tara.nair.6@gmail.com","2026-04-27","1206","INR","Athleisure","Ribbed Joggers","completed"
"ORD-0006-2","tara.nair.6@gmail.com","2026-04-01","1878","INR","Summer Dresses","Cotton Sundress","completed"
"ORD-0007-1","aarav.saxena.7@gmail.com","2026-03-07","3654","INR","Denim","High-Rise Jeans","completed"
"ORD-0007-2","aarav.saxena.7@gmail.com","2026-02-17","3035","INR","Accessories","Minimal Belt","completed"
"ORD-0008-1","aarav.saxena.8@gmail.com","2025-12-04","3009","INR","Summer Dresses","Floral Wrap Dress","completed"
"ORD-0008-2","aarav.saxena.8@gmail.com","2025-11-07","4228","INR","Summer Dresses","Linen Midi Dress","completed"
"ORD-0008-3","aarav.saxena.8@gmail.com","2025-10-22","3614","INR","Athleisure","Performance Tee","completed"
"ORD-0008-4","aarav.saxena.8@gmail.com","2025-09-25","6678","INR","Athleisure","Ribbed Joggers","completed"
"ORD-0008-5","aarav.saxena.8@gmail.com","2025-09-02","5042","INR","Summer Dresses","Linen Midi Dress","completed"
"ORD-0008-6","aarav.saxena.8@gmail.com","2025-08-12","3843","INR","Summer Dresses","Cotton Sundress","completed"
"ORD-0008-7","aarav.saxena.8@gmail.com","2025-07-26","6034","INR","Denim","Denim Jacket","completed"
"ORD-0008-8","aarav.saxena.8@gmail.com","2025-07-02","3246","INR","Summer Dresses","Cotton Sundress","completed"
"ORD-0009-1","kabir.menon.9@gmail.com","2026-05-25","1082","INR","Denim","Denim Jacket","completed"
"ORD-0010-1","vivaan.khanna.10@gmail.com","2026-04-22","1645","INR","Summer Dresses","Linen Midi Dress","completed"
"ORD-0010-2","vivaan.khanna.10@gmail.com","2026-03-28","3337","INR","Denim","Denim Jacket","completed"
"ORD-0011-1","arjun.sharma.11@gmail.com","2026-03-10","1047","INR","Athleisure","Ribbed Joggers","returned"
"ORD-0011-2","arjun.sharma.11@gmail.com","2026-02-12","1416","INR","Accessories","Gold Hoop Earrings","completed"
"ORD-0012-1","nisha.mehta.12@gmail.com","2025-11-27","1138","INR","Festive Wear","Silk Dupatta","completed"
"ORD-0012-2","nisha.mehta.12@gmail.com","2025-11-07","1624","INR","Festive Wear","Embroidered Kurta","completed"
"ORD-0013-1","anaya.menon.13@gmail.com","2026-05-26","3210","INR","Denim","Denim Jacket","completed"
"ORD-0013-2","anaya.menon.13@gmail.com","2026-05-07","2304","INR","Festive Wear","Silk Dupatta","completed"
"ORD-0014-1","diya.iyer.14@gmail.com","2026-04-18","1062","INR","Denim","Denim Jacket","completed"
"ORD-0015-1","diya.kapoor.15@gmail.com","2026-03-03","6504","INR","Accessories","Minimal Belt","completed"
"ORD-0015-2","diya.kapoor.15@gmail.com","2026-02-08","3413","INR","Footwear","Kolhapuri Flats","completed"
"ORD-0015-3","diya.kapoor.15@gmail.com","2026-01-25","3611","INR","Accessories","Minimal Belt","completed"
"ORD-0015-4","diya.kapoor.15@gmail.com","2026-01-03","4015","INR","Accessories","Canvas Tote","completed"
"ORD-0015-5","diya.kapoor.15@gmail.com","2025-12-13","4375","INR","Accessories","Minimal Belt","returned"
"ORD-0015-6","diya.kapoor.15@gmail.com","2025-11-14","4349","INR","Accessories","Gold Hoop Earrings","completed"
"ORD-0015-7","diya.kapoor.15@gmail.com","2025-11-04","3751","INR","Festive Wear","Mirrorwork Co-ord","completed"
"ORD-0015-8","diya.kapoor.15@gmail.com","2025-10-14","5444","INR","Accessories","Gold Hoop Earrings","completed"
"ORD-0016-1","nisha.menon.16@gmail.com","2025-12-05","1787","INR","Athleisure","Performance Tee","completed"
"ORD-0016-2","nisha.menon.16@gmail.com","2025-11-05","3327","INR","Accessories","Minimal Belt","completed"
"ORD-0016-3","nisha.menon.16@gmail.com","2025-10-16","1962","INR","Accessories","Minimal Belt","completed"
"ORD-0017-1","tara.menon.17@gmail.com","2026-05-25","1878","INR","Footwear","Block Heel Sandals","completed"
"ORD-0018-1","dev.sharma.18@gmail.com","2026-04-22","1188","INR","Summer Dresses","Cotton Sundress","completed"
"ORD-0018-2","dev.sharma.18@gmail.com","2026-04-07","1231","INR","Summer Dresses","Linen Midi Dress","completed"
"ORD-0019-1","ishaan.rao.19@gmail.com","2026-03-01","3310","INR","Summer Dresses","Floral Wrap Dress","completed"
"ORD-0019-2","ishaan.rao.19@gmail.com","2026-02-12","3316","INR","Summer Dresses","Floral Wrap Dress","completed"
"ORD-0019-3","ishaan.rao.19@gmail.com","2026-01-23","2575","INR","Footwear","Block Heel Sandals","completed"
"ORD-0020-1","meera.rao.20@gmail.com","2025-11-24","1538","INR","Summer Dresses","Linen Midi Dress","returned"
"ORD-0020-2","meera.rao.20@gmail.com","2025-11-05","1052","INR","Festive Wear","Embroidered Kurta","completed"
"ORD-0021-1","ishaan.menon.21@gmail.com","2026-05-26","1229","INR","Accessories","Canvas Tote","completed"
"ORD-0021-2","ishaan.menon.21@gmail.com","2026-05-07","842","INR","Accessories","Gold Hoop Earrings","completed"
"ORD-0021-3","ishaan.menon.21@gmail.com","2026-04-08","1771","INR","Footwear","Block Heel Sandals","completed"
"ORD-0022-1","diya.mehta.22@gmail.com","2026-04-18","3535","INR","Accessories","Gold Hoop Earrings","completed"
"ORD-0022-2","diya.mehta.22@gmail.com","2026-04-04","6596","INR","Footwear","Block Heel Sandals","completed"
"ORD-0022-3","diya.mehta.22@gmail.com","2026-03-08","6471","INR","Accessories","Minimal Belt","completed"
"ORD-0022-4","diya.mehta.22@gmail.com","2026-02-18","3646","INR","Accessories","Gold Hoop Earrings","completed"
"ORD-0022-5","diya.mehta.22@gmail.com","2026-02-01","6030","INR","Accessories","Canvas Tote","completed"
"ORD-0022-6","diya.mehta.22@gmail.com","2026-01-11","3453","INR","Accessories","Minimal Belt","completed"
"ORD-0022-7","diya.mehta.22@gmail.com","2025-12-19","4447","INR","Accessories","Canvas Tote","completed"
"ORD-0022-8","diya.mehta.22@gmail.com","2025-12-02","6435","INR","Denim","Straight Fit Jeans","completed"
"ORD-0023-1","tara.sharma.23@gmail.com","2026-03-01","1843","INR","Athleisure","Performance Tee","completed"
"ORD-0023-2","tara.sharma.23@gmail.com","2026-02-14","1478","INR","Denim","Straight Fit Jeans","completed"
"ORD-0023-3","tara.sharma.23@gmail.com","2026-01-20","975","INR","Summer Dresses","Linen Midi Dress","completed"
"ORD-0023-4","tara.sharma.23@gmail.com","2026-01-03","930","INR","Denim","Straight Fit Jeans","completed"
"ORD-0024-1","dev.iyer.24@gmail.com","2025-12-03","1657","INR","Summer Dresses","Cotton Sundress","completed"
"ORD-0024-2","dev.iyer.24@gmail.com","2025-11-03","1380","INR","Footwear","Kolhapuri Flats","completed"
"ORD-0024-3","dev.iyer.24@gmail.com","2025-10-18","893","INR","Footwear","Kolhapuri Flats","completed"
"ORD-0025-1","anaya.nair.25@gmail.com","2026-05-30","1728","INR","Summer Dresses","Cotton Sundress","returned"
"ORD-0025-2","anaya.nair.25@gmail.com","2026-05-04","2890","INR","Summer Dresses","Linen Midi Dress","completed"
"ORD-0025-3","anaya.nair.25@gmail.com","2026-04-17","2668","INR","Summer Dresses","Linen Midi Dress","completed"
"ORD-0026-1","anaya.menon.26@gmail.com","2026-04-29","1738","INR","Summer Dresses","Cotton Sundress","completed"
"ORD-0026-2","anaya.menon.26@gmail.com","2026-03-30","1344","INR","Denim","High-Rise Jeans","completed"
"ORD-0026-3","anaya.menon.26@gmail.com","2026-03-15","1368","INR","Summer Dresses","Floral Wrap Dress","completed"
"ORD-0027-1","nisha.saxena.27@gmail.com","2026-02-27","1892","INR","Festive Wear","Silk Dupatta","completed"
